TRICODE,IATA CODE,CALLSIGN,COMMON NAME,COMPANY/CORPORATE NAME,COUNTRY
TPB,-,AERO TROPICAL,AERO TROPICAL,"AERO TROPICAL, LDA",ANGOLA
TLE,-,AEROUTIL,AERO UTIL,"AERO UTIL, S.A. DE C.V.",MEXICO
ARI,-,AEROVICS,AERO VICS,"AERO VICS, S.A. DE C.V.",MEXICO
VLS,-,VIREL,AERO VIREL,"AERO VIREL, S.A. DE C.V.",MEXICO
AOV,-,AEROVISION,AERO VISION,AERO VISION,FRANCE
AOD,-,AERO CZECH,AERO VODOCHODY,AERO VODOCHODY,CZECHIA
TKK,-,TARKA,AERO WAYS,"AERO WAYS, INC. (NEW CASTLE, DE)",UNITED STATES OF AMERICA
MYS,-,AERO YAQUI,AERO YAQUI MAYO,"AERO YAQUI MAYO, S. A. DE C.V.",MEXICO
AJH,-,ALJARAFE,AEROALJARAFE,AEROALJARAFE S.L.,SPAIN
ARD,-,CORDILLERAS,AEROANDINAS,"AEROANDINAS, C.A.",VENEZUELA
AQA,-,ATCO,AEROATLAS,AEROATLAS S.A.,COLOMBIA
KKA,-,AVILA,AEROAVILA TRANSPORTES AEREOS,AEROAVILA TRANSPORTES AEROEOS,VENEZUELA
GAB,-,CALI,AEROBELL AIRLINES,AEROBELL AIRLINES,COSTA RICA
ABA,-,AEROBETA,AERO-BETA,"AERO-BETA GMBH & CO., STUTTGART",GERMANY
DFA,-,ABLE,AEROBILITY,AEROBILITY,UNITED KINGDOM
IVA,-,AEROBOLIVAR,AEROBOLIVAR,"AEROBOLIVAR, C.A.",VENEZUELA
BOC,-,AEROBONA,AEROBONA,"AEROBONA, S.A. DE C.V.",MEXICO
BGE,-,AEROBRIDGE,AEROBRIDGE,AEROBRIDGE,UNITED STATES OF AMERICA
CDA,-,AEROCARDAL,AEROCARDAL,AEROCARDAL,CHILE
SYD,-,SKYDOCTOR,AEROCARE,FLYING AMBULANCE (PTY) LTD T/A AEROCARE,SOUTH AFRICA
CVZ,-,CARIBE,AEROCARIBE AIRLINES,AEROCARIBE AIRLINES,VENEZUELA
AOB,-,CARIBE CORO,AEROCARIBE CORO,"AEROCARIBE CORO, C.A.",VENEZUELA
ACR,-,AEROCENTER,AEROCENTER,"AEROCENTER, ESCUELA DE FORMACION DE PILOTOS PRIVADOS DE AVION",SPAIN
ERC,-,+,AEROCHARTER,AEROCHARTER,GUATEMALA
BSO,-,-,AEROCLUB BARCELONA-SABADELL,AEROCLUB BARCELONA-SABADELL,SPAIN
NVA,-,-,AEROCLUB DE ALBACETE,AEROCLUB DE ALBACETE,SPAIN
LUE,-,-,AEROCLUB DE ALICANTE,AEROCLUB DE ALICANTE,SPAIN
MLL,-,MALLORCA,AEROCLUB DE MALLORCA,AEROCLUB DE MALLORCA,SPAIN
AVX,-,-,AEROCLUB DE VITORIA,AEROCLUB DE VITORIA,SPAIN
MOD,-,MONDEGO,AEROCLUBE DE COIMBRA,AEROCLUBE DE COIMBRA,PORTUGAL
AEK,-,AEROCON,AEROCON,AEROCON LTDA.,BOLIVIA
CTD,-,AEROCORPORATIVOS,AEROCORPORATIVOS,"AEROCORPORATIVOS, S.A. DE C.V.",MEXICO
RRO,-,-,AEROCREDO,"AEROCREDO, CLOSED CORPORATION",RUSSIAN FEDERATION
CUO,-,CUAHONTE,AEROCUAHONTE,"AEROCUAHONTE, S.A. DE C.V.",MEXICO
ROD,-,AERODAN,AERODAN,"AERODAN, S.A. DE C.V.",MEXICO
DTO,-,AERODESIERTO,AERODESIERTO,AERODESIERTO S.A.,CHILE
