Manufacturer,Model,ICAO Type Designator,ICAO WTC,MCTOM (Kg),UK Departure WTC,UK Arrival WTC,Common Name
LICHTWERK,SE-3160 Alouette 3,ALO3,L,2100,L,L,
LIGHT MINIATURE,Super Cub,LM5X,L,0,L,L,
LIGHT WING,AC-4,AC4,L,600,L,L,
LILIENTHAL,Bekas (X-32),LX32,L,0,L,L,
LILIENTHAL,X-34 Bekas,LX34,L,0,L,L,
LMAASA,AT-63 Pampa,IA63,L,0,L,L,
LOAD RANGER,2000,LR2T,L,1500,L,L,
LOCKHEED,C-130 Hercules,C130,M,70307,M,LM,
LOCKHEED,C-141 Starlifter,C141,H,143607,H,H,
LOCKHEED,C-5M Super Galaxy,C5M,H,417305,H,H,
LOCKHEED,C-121 Constellation,CONI,M,64637,M,LM,
LOCKHEED,F-104 Starfighter,F104,M,14060,L,L,
LOCKHEED,F-117 Nighthawk,F117,M,23800,S,S,
LOCKHEED,F-22 Raptor,F22,M,37893,S,S,
LOCKHEED,L-10 Electra,L10,L,4791,L,L,
LOCKHEED,TriStar,L101,H,231332,H,H,
LOCKHEED,L-12 Electra Junior,L12,L,4173,L,L,
LOCKHEED,L-14 Hudson,L14,M,7938,L,L,
LOCKHEED,L-188 Electra,L188,M,52617,M,LM,
LOCKHEED,Jetstar 6,L29A,M,18561,S,S,
LOCKHEED,Jetstar 2,L29B,M,20185,S,S,
LOCKHEED,YO-3,O3,L,0,L,L,
LOCKHEED,L-726 Neptune,P2,M,36287,S,S,
LOCKHEED,L-422 Lightning,P38,M,8390,L,L,
LOCKHEED,L-394 Viking,S3,M,23831,S,S,
LOCKHEED,Blackbird,SR71,M,78018,M,LM,
LOCKHEED,L-580 T-Bird,T33,M,6849,L,L,
LOCKHEED,ER-2,U2,M,18144,S,S,
LOCKHEED ,Lightning II (F-35A/C),F35,M,31751,S,S,
LOCKHEED MARTIN,C-130J Hercules,C30J,M,74389,M,LM,
LOCKHEED MARTIN,P-3 Orion,P3,M,61235,M,LM,
LOCKHEED MARTIN,Lightning II (F-35B),VF35,M,27216,S,S,
LOCKHEED MARTIN,X-55,X55,M,15600,L,L,
LOCKWOOD,Air Cam,ACAM,L,862,L,L,
LOEHLE,Spitfire Elite,SPEL,L,0,L,L,
LOMBARDI,Aviastarlet,FL3,L,0,L,L,
LOMBARDI,LM-5 Aviastar,LM5,L,0,L,L,
LOMBARDI,LM-7,LM7,L,0,L,L,
LONGREN,L-13 Centaur,L13,L,1610,L,L,
LOPRESTI,Fury,LP1,L,0,L,L,
LOT,AS-350 Ecureuil,AS50,L,2500,L,L,
LOT,Ecureuil,AS50,L,2500,L,L,
LOVING-WAYNE,Love,LOVE,L,0,L,L,
LTV,F-8 Crusader,F8,M,15420,L,L,
LUCAS,L-5,LUL5,L,0,L,L,
LUCAS,L-6,LUL6,L,0,L,L,
LUCAS,L-7,LUL7,L,0,L,L,
LUCAS,L-8,LUL8,L,0,L,L,
LUNDY,Graflite,GRAF,L,0,L,L,
LYAVIN,Delfin,DELF,L,0,L,L,
M&D Flugzeugbau,JS-MD 1C Revelation,TS1J,L,720,L,L,
MACCHI,AL-60,LA60,L,2037,L,L,
MACCHI,MB-308,M308,L,0,L,L,
MACCHI,MB-326,M326,L,0,L,L,
MACDONALD,S-21,S21,L,0,L,L,
MACKEY,SQ-2,MSQ2,L,0,L,L,
MAGNUS,MG-11 eFusion,EFUS,L,600,L,L,
MAGNUS,MG-11 Fusion,FUSI,L,600,L,L,
MAKELAN,Hatz Classic,CB1,L,0,L,L,
MALMO,Junior,JUNR,L,630,L,L,
MALMO,Vipan,MF10,L,0,L,L,
MAPO,SL-39,SL39,L,0,L,L,
MAPO,I-1,SL90,L,0,L,L,
MARA WING,Malamut,MMUT,L,472,L,L,
MARANDA,BM-6 Lark,BM6,L,0,L,L,
MARANDA,BM-4,GY20,L,0,L,L,
MARANDA,Loisirs,RA14,L,0,L,L,
MARANDA,BM-3,RA17,L,0,L,L,
MARCO,J-5 Marco,JAJ5,L,0,L,L,
MARGANSKI,EM-10 Bielik,EM10,L,0,L,L,
MARGANSKI,Orka,EM11,L,1820,L,L,
MARIE,Medoc,JPM1,L,0,L,L,
MARQUART,MA-5 Charger,MA5,L,0,L,L,
MARSDEN,Skylark,DV1,L,550,L,L,
MARSH,Turbo Tracker,S2T,M,13222,L,L,
MARTIN,179 Marauder,B26M,M,17340,S,S,
MARTIN,404,M404,M,20366,S,S,
MARTIN,272,WB57,M,28576,S,S,
MAULE,M-5,M5,L,1043,L,L,
MAULE,M-6 Super Rocket,M6,L,1134,L,L,
MAULE,MX-7-235 Star Rocket,M7,L,1247,L,L,
MAULE,MT-7-420,M7T,L,1134,L,L,
MAULE,M-8,M8,L,1134,L,L,
MAULE,M-9,M9,L,1270,L,L,
MAUPIN,Windrose,ROSE,L,0,L,L,
MAX HOLSTE,MH-1521 Broussard,BROU,L,0,L,L,
MBB,BO-105,B105,L,2600,L,L,
MBB,BO-105 Twin Jet,B105,L,2600,L,L,
MBB,Hkp9,B105,L,2600,L,L,
MBB,Twin Jet,B105,L,2600,L,L,
MBB,HFB-320 Hansa,HF20,M,9200,L,L,
MBB-KAWASAKI,BK-117,BK17,L,3700,L,L,
MCCARLEY,Mini-Mac,MMAC,L,0,L,L,
MCDONNELL DOUGLAS,YC-15,C15,M,98285,M,LM,
MCDONNELL DOUGLAS,Globemaster 3,C17,H,265352,H,H,
MCDONNELL DOUGLAS,Extender,DC10,H,267619,H,H,
MCDONNELL DOUGLAS,DC-8-50,DC85,H,147418,H,H,
MCDONNELL DOUGLAS,DC-8-60,DC86,H,161025,H,H,
MCDONNELL DOUGLAS,DC-8-70,DC87,H,161025,H,H,
MCDONNELL DOUGLAS,DC-9-10,DC91,M,41140,M,LM,
MCDONNELL DOUGLAS,DC-9-20,DC92,M,45359,M,LM,
MCDONNELL DOUGLAS,DC-9-30,DC93,M,54885,M,LM,
MCDONNELL DOUGLAS,DC-9-40,DC94,M,51710,M,LM,
MCDONNELL DOUGLAS,DC-9-50,DC95,M,55429,M,LM,
MCDONNELL DOUGLAS,Combat Explorer,EXPL,L,3071,L,L,
MCDONNELL DOUGLAS,Enforcer,EXPL,L,3071,L,L,
MCDONNELL DOUGLAS,Explorer,EXPL,L,3071,L,L,
MCDONNELL DOUGLAS,MD-900 Combat Explorer,EXPL,L,3071,L,L,
MCDONNELL DOUGLAS,MD-900 Explorer,EXPL,L,3071,L,L,
MCDONNELL DOUGLAS,MD-902 Explorer,EXPL,L,3071,L,L,
MCDONNELL DOUGLAS,MH-90 Enforcer,EXPL,L,3071,L,L,
MCDONNELL DOUGLAS,FA-18F Super Hornet,F18S,M,25400,S,S,
MCDONNELL DOUGLAS,F-4 Phantom 2,F4,M,28000,S,S,
MCDONNELL DOUGLAS,AH-6G,H500,L,1519,L,L,
MCDONNELL DOUGLAS,Defender,H500,L,1519,L,L,
MCDONNELL DOUGLAS,Lifter,H500,L,1519,L,L,
MCDONNELL DOUGLAS,MD-500,H500,L,1519,L,L,
MCDONNELL DOUGLAS,MD-500 Defender,H500,L,1519,L,L,
MCDONNELL DOUGLAS,MD-500 Nightfox,H500,L,1519,L,L,
MCDONNELL DOUGLAS,MD-530F Lifter,H500,L,1519,L,L,
MCDONNELL DOUGLAS,MD-530MG Defender,H500,L,1519,L,L,
MCDONNELL DOUGLAS,MD-530MG Nightfox,H500,L,1519,L,L,
MCDONNELL DOUGLAS,MH-6H,H500,L,1519,L,L,
MCDONNELL DOUGLAS,Nightfox,H500,L,1519,L,L,
MCDONNELL DOUGLAS,AH-64 Apache,H64,M,10433,S,S,
MCDONNELL DOUGLAS,AH-64 Longbow Apache,H64,M,10433,S,S,
MCDONNELL DOUGLAS,AH-64 Pethen,H64,M,10433,S,S,
MCDONNELL DOUGLAS,Apache,H64,M,10433,S,S,
MCDONNELL DOUGLAS,JAH-64 Apache,H64,M,10433,S,S,
MCDONNELL DOUGLAS,Longbow Apache,H64,M,10433,S,S,
MCDONNELL DOUGLAS,Pethen,H64,M,10433,S,S,
